Data,Confirmados,Recuperados,Obitos
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,0,0,0
2020-05-13,0,0,0
2020-05-14,0,0,0
2020-05-15,0,0,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,0,0,0
2020-05-19,1,0,0
2020-05-20,2,0,0
2020-05-21,3,0,0
2020-05-22,5,0,0
2020-05-23,5,0,0
2020-05-24,5,0,0
2020-05-25,5,0,0
2020-05-26,8,0,0
2020-05-27,8,0,0
2020-05-28,12,0,0
2020-05-29,17,0,0
2020-05-30,17,0,0
2020-05-31,17,1,0
2020-06-01,19,2,0
2020-06-02,20,3,0
2020-06-03,20,3,0
2020-06-04,20,3,0
2020-06-05,20,3,0
2020-06-06,20,3,0
2020-06-07,21,3,0
2020-06-08,22,4,0
2020-06-09,22,10,0
2020-06-10,22,10,0
2020-06-11,22,10,0
2020-06-12,22,13,0
2020-06-13,22,13,0
2020-06-14,22,13,0
2020-06-15,23,16,0
2020-06-16,23,16,0
2020-06-17,24,18,0
2020-06-18,24,18,0
2020-06-19,27,18,0
2020-06-20,27,18,0
2020-06-21,27,18,0
2020-06-22,28,18,0
2020-06-23,31,18,0
2020-06-24,41,18,0
2020-06-25,48,20,0
2020-06-26,51,20,0
2020-06-27,52,20,0
2020-06-28,52,20,0
2020-06-29,54,24,0
